"age","balance","ending_balance.par1","wA","wA_T","consprop.par1","pretax_cons.par1","aftertax_cons.par1","utility","pseudoConsum","value_manager","value_manager1","value_manager2"
25,855000,855000,1.16,0.9,1,70000,58983,-3.24247365130967e-14,21743.7324992894,14.7579207237235,0.344017094017094,14.4139036297064
25,850000,850000,1.16,0.9,1,70000,58983,-3.24584053096941e-14,21736.2117089717,14.7577672653181,0.344017094017094,14.413750171301
25,845000,845000,1.16,0.9,1,70000,58983,-3.24922248077645e-14,21728.6677199377,14.7576130379931,0.344017094017094,14.413595943976
25,840000,840000,1.16,0.9,1,70000,58983,-3.2526202218388e-14,21721.099041571,14.7574580107354,0.344017094017094,14.4134409167183
25,835000,835000,1.16,0.9,1,70000,58983,-3.25603439755975e-14,21713.5043649872,14.7573021890263,0.344017094017094,14.4132850950092
25,830000,830000,1.16,0.9,1,70000,58983,-3.25946471409075e-14,21705.8844698742,14.7571455131292,0.344017094017094,14.4131284191121
25,825000,825000,1.16,0.9,1,70000,58983,-3.26291219437385e-14,21698.2372134525,14.7569879717302,0.344017094017094,14.4129708777131
25,820000,820000,1.16,0.9,1,70000,58983,-3.26637724547371e-14,21690.56182908,14.7568295478471,0.344017094017094,14.41281245383
25,815000,815000,1.16,0.9,1,70000,58983,-3.26985996595667e-14,21682.8582372273,14.7566702043702,0.344017094017094,14.4126531103531
25,810000,810000,1.16,0.9,1,70000,58983,-3.27336060685131e-14,21675.1260232003,14.7565099058852,0.344017094017094,14.4124928118681
25,805000,805000,1.16,0.9,1,70000,58983,-3.27687989707444e-14,21667.3637222913,14.7563486459999,0.344017094017094,14.4123315519828
25,8e+05,8e+05,1.16,0.9,1,70000,58983,-3.28041859656963e-14,21659.5698108606,14.7561863706505,0.344017094017094,14.4121692766335
25,795000,795000,1.16,0.9,1,70000,58983,-3.28397651184059e-14,21651.7448704674,14.7560230659308,0.344017094017094,14.4120059719137
25,790000,790000,1.16,0.9,1,70000,58983,-3.28755502871505e-14,21643.8860145133,14.7558586950479,0.344017094017094,14.4118416010308
25,785000,785000,1.16,0.9,1,70000,58983,-3.2911539700352e-14,21635.9937993064,14.7556932295764,0.344017094017094,14.4116761355593
25,780000,780000,1.16,0.9,1,70000,58983,-3.29477375468287e-14,21628.0674749089,14.7555266402272,0.344017094017094,14.4115095462101
25,775000,775000,1.16,0.9,1,70000,58983,-3.29841515878731e-14,21620.1055164423,14.75535889437,0.344017094017094,14.4113418003529
25,770000,770000,1.16,0.9,1,70000,58983,-3.30207833418173e-14,21612.1077712948,14.7551899484833,0.344017094017094,14.4111728544662
25,765000,765000,1.16,0.9,1,70000,58983,-3.30576395986411e-14,21604.0729407041,14.7550197787825,0.344017094017094,14.4110026847654
25,760000,760000,1.16,0.9,1,70000,58983,-3.30947223197142e-14,21596.000785319,14.7548483436336,0.344017094017094,14.4108312496165
25,755000,755000,1.16,0.9,1,70000,58983,-3.31320452927348e-14,21587.888500088,14.7546756191346,0.344017094017094,14.4106585251175
25,750000,750000,1.16,0.9,1,70000,58983,-3.31696055704152e-14,21579.7369275357,14.7545015394044,0.344017094017094,14.4104844453874
25,745000,745000,1.16,0.9,1,70000,58983,-3.32074111978702e-14,21571.5445264754,14.7543260966997,0.344017094017094,14.4103090026826
25,740000,740000,1.16,0.9,1,70000,58983,-3.32454681168897e-14,21563.3102214535,14.7541492285781,0.344017094017094,14.410132134561
25,735000,735000,1.16,0.9,1,70000,58983,-3.32837914097661e-14,21555.0309721321,14.7539709040717,0.344017094017094,14.4099538100546
25,730000,730000,1.16,0.9,1,70000,58983,-3.33223703916538e-14,21546.7093125034,14.7537910822961,0.344017094017094,14.409773988279
25,725000,725000,1.155,0.9,1,70000,58983,-3.33615654952248e-14,21538.2678975684,14.753609739431,0.344017094017094,14.4095926454139
25,720000,720000,1.1478,0.9,1,70000,58983,-3.34011838034022e-14,21529.7487650048,14.7534268680696,0.344017094017094,14.4094097740525
25,715000,715000,1.1416,0.9,1,70000,58983,-3.34410043398309e-14,21521.1997129263,14.7532424399883,0.344017094017094,14.4092253459712
25,710000,710000,1.1342,0.9,0.999999999999999,69999.9999999999,58982.9999999999,-3.34811922691607e-14,21512.585536102,14.753056387341,0.344017094017094,14.4090392933239
25,705000,705000,1.1284,0.9,1,70000,58983,-3.35215614351574e-14,21503.9463802052,14.7528686708085,0.344017094017094,14.4088515767914
25,7e+05,7e+05,1.1228,0.9,1,70000,58983,-3.35622009561901e-14,21495.2633675224,14.7526792413761,0.344017094017094,14.4086621473591
25,695000,695000,1.1162,0.9,1,70000,58983,-3.36032048063775e-14,21486.5167087048,14.7524880149694,0.344017094017094,14.4084709209523
25,690000,690000,1.1096,0.9,1,70000,58983,-3.36445115488787e-14,21477.7198159156,14.7522949670471,0.344017094017094,14.4082778730301
25,685000,685000,1.1034,0.9,1,70000,58983,-3.36860952290359e-14,21468.8784786466,14.7521000070849,0.344017094017094,14.4080829130678
25,680000,680000,1.096,0.9,1,70000,58983,-3.37280889543974e-14,21459.9647152684,14.7519030922289,0.344017094017094,14.4078859982118
