"age","balance","ending_balance.par1","wA","wA_T","consprop.par1","pretax_cons.par1","aftertax_cons.par1","utility","pseudoConsum","value_manager","value_manager1","value_manager2"
25,1090000,1090000,1,0.9,1,70000,58983,-3.02821754084581e-14,22244.9051434709,15.6182266372194,0.365384615384615,15.2528420218348
25,1085000,1085000,1,0.9,1,70000,58983,-3.0303868188689e-14,22239.595930959,15.6181646067062,0.365384615384615,15.2527799913216
25,1080000,1080000,1,0.9,1,70000,58983,-3.03255920541096e-14,22234.2841863644,15.6181025043755,0.365384615384615,15.2527178889909
25,1075000,1075000,1,0.9,1,70000,58983,-3.03473460406009e-14,22228.9701583886,15.6180403278951,0.365384615384615,15.2526557125105
25,1070000,1070000,1,0.9,1,70000,58983,-3.03691317418582e-14,22223.6534708885,15.6179780721752,0.365384615384615,15.2525934567906
25,1065000,1065000,1,0.9,1,70000,58983,-3.03909509941424e-14,22218.333690076,15.6179157337101,0.365384615384615,15.2525311183255
25,1060000,1060000,1,0.9,1,70000,58983,-3.04128026430053e-14,22213.0111119773,15.6178533104059,0.365384615384615,15.2524686950212
25,1055000,1055000,1,0.9,1,70000,58983,-3.04346870782207e-14,22207.6856559212,15.6177907993378,0.365384615384615,15.2524061839532
25,1050000,1050000,1,0.9,1,70000,58983,-3.04566058329578e-14,22202.3569637395,15.6177281917536,0.365384615384615,15.252343576369
25,1045000,1045000,1,0.9,1,70000,58983,-3.04785590226037e-14,22197.025022855,15.6176654873828,0.365384615384615,15.2522808719982
25,1040000,1040000,1,0.9,1,70000,58983,-3.05005476113897e-14,22191.6896149074,15.617602679966,0.365384615384615,15.2522180645814
25,1035000,1035000,1,0.9,1,70000,58983,-3.05225715234713e-14,22186.3507744184,15.6175397674746,0.365384615384615,15.25215515209
25,1030000,1030000,1,0.9,1,70000,58983,-3.05446317398185e-14,22181.0082800022,15.6174767423235,0.365384615384615,15.2520921269388
25,1025000,1025000,1,0.9,1,70000,58983,-3.05667291760128e-14,22175.6619269784,15.6174135975388,0.365384615384615,15.2520289821542
25,1020000,1020000,1,0.9,1,70000,58983,-3.05888638183219e-14,22170.3117360151,15.6173503343515,0.365384615384615,15.2519657189669
25,1015000,1015000,1,0.9,1,70000,58983,-3.06110371910698e-14,22164.9573565173,15.6172869437143,0.365384615384615,15.2519023283297
25,1010000,1010000,1,0.9,1,70000,58983,-3.06332513155858e-14,22159.5983194473,15.6172234153064,0.365384615384615,15.2518387999218
25,1005000,1005000,1,0.9,1,70000,58983,-3.0655506498992e-14,22154.2345705745,15.6171597474101,0.365384615384615,15.2517751320255
25,1e+06,1e+06,1,0.9,1,70000,58983,-3.06778032186355e-14,22148.8660149652,15.6170959360486,0.365384615384615,15.251711320664
25,995000,995000,1,0.9,1,70000,58983,-3.07001415163042e-14,22143.4926628287,15.6170319697945,0.365384615384615,15.2516473544099
25,990000,990000,1,0.9,1,70000,58983,-3.07225242990668e-14,22138.1138361665,15.6169678431984,0.365384615384615,15.2515832278138
25,985000,985000,1,0.9,1,70000,58983,-3.074495464541e-14,22132.7288185394,15.6169035508666,0.365384615384615,15.251518935482
25,980000,980000,1,0.9,1,70000,58983,-3.07674292207548e-14,22127.3384337472,15.6168390879934,0.365384615384615,15.2514544726088
25,975000,975000,1,0.9,1,70000,58983,-3.07899490239076e-14,22121.9424646345,15.616774443105,0.365384615384615,15.2513898277204
25,970000,970000,1,0.9,1,70000,58983,-3.08125145891466e-14,22116.5408060998,15.6167096088674,0.365384615384615,15.2513249934828
25,965000,965000,1,0.9,1,70000,58983,-3.08351282117244e-14,22111.132932601,15.6166445833092,0.365384615384615,15.2512599679246
