Month,DE,Cash
1983 Jul,0.477877589,0.01
1983 Aug,0.337520733,0.01
1983 Sep,0.336888233,0.01
1983 Oct,0.185202513,0.01
1983 Nov,0.159237765,0.01
1983 Dec,0.124804715,0.01
1984 Jan,0.073260842,0.01
1984 Feb,0.008112013,0.01
1984 Mar,-0.012994419,0.01
1984 Apr,-0.074154062,0.01
1984 May,-0.11654218,0.01
1984 Jun,-0.129259889,0.01
1984 Jul,-0.116600932,0.01
1984 Aug,-0.033004884,0.01
1984 Sep,-0.046011037,0.01
1984 Oct,-0.031132941,0.01
1984 Nov,-0.061271743,0.01
1984 Dec,-0.030515465,0.01
1985 Jan,0.056705687,0.01
1985 Feb,0.108304793,0.01
1985 Mar,0.088382539,0.01
1985 Apr,0.079618851,0.01
1985 May,0.210479586,0.01
1985 Jun,0.203060975,0.01
1985 Jul,0.219751203,0.01
1985 Aug,0.089865812,0.01
1985 Sep,0.056614264,0.01
1985 Oct,0.10194623,0.01
1985 Nov,0.188841619,0.01
1985 Dec,0.212070397,0.01
1986 Jan,0.128807948,0.01
1986 Feb,0.208523432,0.01
1986 Mar,0.28938126,0.01
1986 Apr,0.284084227,0.01
1986 May,0.278268846,0.01
1986 Jun,0.279657659,0.01
1986 Jul,0.211303725,0.01
1986 Aug,0.314966123,0.01
1986 Sep,0.243372238,0.01
1986 Oct,0.260380366,0.01
1986 Nov,0.211978012,0.01
1986 Dec,0.127641305,0.01
1987 Jan,0.271632627,0.01
1987 Feb,0.223784266,0.01
1987 Mar,0.182162782,0.01
1987 Apr,0.175784724,0.01
1987 May,0.126201301,0.01
1987 Jun,0.163034487,0.01
1987 Jul,0.293459253,0.01
1987 Aug,0.24518661,0.01
1987 Sep,0.329152041,0.01
1987 Oct,-0.016178955,0.01
1987 Nov,-0.121069666,0.01
1987 Dec,-0.027203888,0.01
1988 Jan,-0.104370799,0.01
1988 Feb,-0.098433348,0.01
1988 Mar,-0.150351417,0.01
1988 Apr,-0.133648324,0.01
1988 May,-0.1360355,0.01
1988 Jun,-0.139752978,0.01
1988 Jul,-0.185334772,0.01
1988 Aug,-0.24346791,0.01
1988 Sep,-0.194164375,0.01
1988 Oct,0.057553652,0.01
1988 Nov,0.134927956,0.01
1988 Dec,0.071400564,0.01
1989 Jan,0.102394156,0.01
1989 Feb,0.025549097,0.01
1989 Mar,0.080735954,0.01
1989 Apr,0.122958834,0.01
1989 May,0.156218742,0.01
1989 Jun,0.100370067,0.01
1989 Jul,0.205831146,0.01
1989 Aug,0.279391793,0.01
1989 Sep,0.22441845,0.01
1989 Oct,0.161433582,0.01
1989 Nov,0.202778965,0.01
1989 Dec,0.210968713,0.01
1990 Jan,0.046485877,0.01
1990 Feb,0.086402111,0.01
1990 Mar,0.090359063,0.01
1990 Apr,0.015151843,0.01
1990 May,0.074757096,0.01
1990 Jun,0.070533309,0.01
1990 Jul,-0.023332042,0.01
1990 Aug,-0.136833287,0.01
1990 Sep,-0.179496747,0.01
1990 Oct,-0.16550614,0.01
1990 Nov,-0.128147505,0.01
1990 Dec,-0.125712109,0.01
1991 Jan,-0.015852921,0.01
1991 Feb,0.045092201,0.01
1991 Mar,0.047901011,0.01
1991 Apr,0.077457775,0.01
1991 May,0.022329078,0.01
1991 Jun,-0.014911808,0.01
1991 Jul,0.038210086,0.01
1991 Aug,0.175924609,0.01
1991 Sep,0.220567775,0.01
1991 Oct,0.250084122,0.01
1991 Nov,0.124722153,0.01
1991 Dec,0.221394848,0.01
1992 Jan,0.152502724,0.01
1992 Feb,0.088368971,0.01
1992 Mar,0.037502393,0.01
1992 Apr,0.066314699,0.01
1992 May,0.029079998,0.01
1992 Jun,0.062338471,0.01
1992 Jul,0.055268276,0.01
1992 Aug,0.010690211,0.01
1992 Sep,0.040777832,0.01
1992 Oct,0.027842221,0.01
1992 Nov,0.1096906,0.01
1992 Dec,0.009429473,0.01
1993 Jan,0.034449281,0.01
1993 Feb,0.035440905,0.01
1993 Mar,0.080946397,0.01
1993 Apr,0.023252836,0.01
1993 May,0.044942218,0.01
1993 Jun,0.066617856,0.01
1993 Jul,0.022030074,0.01
1993 Aug,0.083585493,0.01
1993 Sep,0.063785328,0.01
1993 Oct,0.082348054,0.01
1993 Nov,0.036857207,0.01
1993 Dec,0.036166938,0.01
1994 Jan,0.066238368,0.01
1994 Feb,0.022618874,0.01
1994 Mar,-0.043672498,0.01
1994 Apr,-0.004421751,0.01
1994 May,-0.013784703,0.01
1994 Jun,-0.043011849,0.01
1994 Jul,-0.009383885,0.01
1994 Aug,-0.008292283,0.01
1994 Sep,-0.025916284,0.01
