Month,DE,Cash
1983 Jul,0.413637589,0.01
1983 Aug,0.273280733,0.01
1983 Sep,0.272648233,0.01
1983 Oct,0.120962513,0.01
1983 Nov,0.094997765,0.01
1983 Dec,0.060564715,0.01
1984 Jan,0.009020842,0.01
1984 Feb,-0.056127987,0.01
1984 Mar,-0.077234419,0.01
1984 Apr,-0.138394062,0.01
1984 May,-0.18078218,0.01
1984 Jun,-0.193499889,0.01
1984 Jul,-0.180840932,0.01
1984 Aug,-0.097244884,0.01
1984 Sep,-0.110251037,0.01
1984 Oct,-0.095372941,0.01
1984 Nov,-0.125511743,0.01
1984 Dec,-0.094755465,0.01
1985 Jan,-0.007534313,0.01
1985 Feb,0.044064793,0.01
1985 Mar,0.024142539,0.01
1985 Apr,0.015378851,0.01
1985 May,0.146239586,0.01
1985 Jun,0.138820975,0.01
1985 Jul,0.155511203,0.01
1985 Aug,0.025625812,0.01
1985 Sep,-0.007625736,0.01
1985 Oct,0.03770623,0.01
1985 Nov,0.124601619,0.01
1985 Dec,0.147830397,0.01
1986 Jan,0.064567948,0.01
1986 Feb,0.144283432,0.01
1986 Mar,0.22514126,0.01
1986 Apr,0.219844227,0.01
1986 May,0.214028846,0.01
1986 Jun,0.215417659,0.01
1986 Jul,0.147063725,0.01
1986 Aug,0.250726123,0.01
1986 Sep,0.179132238,0.01
1986 Oct,0.196140366,0.01
1986 Nov,0.147738012,0.01
1986 Dec,0.063401305,0.01
1987 Jan,0.207392627,0.01
1987 Feb,0.159544266,0.01
1987 Mar,0.117922782,0.01
1987 Apr,0.111544724,0.01
1987 May,0.061961301,0.01
1987 Jun,0.098794487,0.01
1987 Jul,0.229219253,0.01
1987 Aug,0.18094661,0.01
1987 Sep,0.264912041,0.01
1987 Oct,-0.080418955,0.01
1987 Nov,-0.185309666,0.01
1987 Dec,-0.091443888,0.01
1988 Jan,-0.168610799,0.01
1988 Feb,-0.162673348,0.01
1988 Mar,-0.214591417,0.01
1988 Apr,-0.197888324,0.01
1988 May,-0.2002755,0.01
1988 Jun,-0.203992978,0.01
1988 Jul,-0.249574772,0.01
1988 Aug,-0.30770791,0.01
1988 Sep,-0.258404375,0.01
1988 Oct,-0.006686348,0.01
1988 Nov,0.070687956,0.01
1988 Dec,0.007160564,0.01
1989 Jan,0.038154156,0.01
1989 Feb,-0.038690903,0.01
1989 Mar,0.016495954,0.01
1989 Apr,0.058718834,0.01
1989 May,0.091978742,0.01
1989 Jun,0.036130067,0.01
1989 Jul,0.141591146,0.01
1989 Aug,0.215151793,0.01
1989 Sep,0.16017845,0.01
1989 Oct,0.097193582,0.01
1989 Nov,0.138538965,0.01
1989 Dec,0.146728713,0.01
1990 Jan,-0.017754123,0.01
1990 Feb,0.022162111,0.01
1990 Mar,0.026119063,0.01
1990 Apr,-0.049088157,0.01
1990 May,0.010517096,0.01
1990 Jun,0.006293309,0.01
1990 Jul,-0.087572042,0.01
1990 Aug,-0.201073287,0.01
1990 Sep,-0.243736747,0.01
1990 Oct,-0.22974614,0.01
1990 Nov,-0.192387505,0.01
1990 Dec,-0.189952109,0.01
1991 Jan,-0.080092921,0.01
1991 Feb,-0.019147799,0.01
1991 Mar,-0.016338989,0.01
1991 Apr,0.013217775,0.01
1991 May,-0.041910922,0.01
1991 Jun,-0.079151808,0.01
1991 Jul,-0.026029914,0.01
1991 Aug,0.111684609,0.01
1991 Sep,0.156327775,0.01
1991 Oct,0.185844122,0.01
1991 Nov,0.060482153,0.01
1991 Dec,0.157154848,0.01
1992 Jan,0.088262724,0.01
1992 Feb,0.024128971,0.01
1992 Mar,-0.026737607,0.01
1992 Apr,0.002074699,0.01
1992 May,-0.035160002,0.01
1992 Jun,-0.001901529,0.01
1992 Jul,-0.008971724,0.01
1992 Aug,-0.053549789,0.01
1992 Sep,-0.023462168,0.01
1992 Oct,-0.036397779,0.01
1992 Nov,0.0454506,0.01
1992 Dec,-0.054810527,0.01
1993 Jan,-0.029790719,0.01
1993 Feb,-0.028799095,0.01
1993 Mar,0.016706397,0.01
1993 Apr,-0.040987164,0.01
1993 May,-0.019297782,0.01
1993 Jun,0.002377856,0.01
1993 Jul,-0.042209926,0.01
1993 Aug,0.019345493,0.01
1993 Sep,-0.000454672,0.01
1993 Oct,0.018108054,0.01
1993 Nov,-0.027382793,0.01
1993 Dec,-0.028073062,0.01
1994 Jan,0.001998368,0.01
1994 Feb,-0.041621126,0.01
1994 Mar,-0.107912498,0.01
1994 Apr,-0.068661751,0.01
1994 May,-0.078024703,0.01
1994 Jun,-0.107251849,0.01
1994 Jul,-0.073623885,0.01
1994 Aug,-0.072532283,0.01
1994 Sep,-0.090156284,0.01
1994 Oct,-0.08537373,0.01
1994 Nov,-0.111817187,0.01
1994 Dec,-0.109674165,0.01
1995 Jan,-0.119847679,0.01
1995 Feb,-0.055045184,0.01
1995 Mar,0.023434445,0.01
1995 Apr,0.037546453,0.01
1995 May,0.063763191,0.01
1995 Jun,0.120608459,0.01
1995 Jul,0.1233973,0.01
1995 Aug,0.082190605,0.01
1995 Sep,0.162312642,0.01
1995 Oct,0.128841877,0.01
1995 Nov,0.231113351,0.01
1995 Dec,0.238638256,0.01
1996 Jan,0.245964724,0.01
1996 Feb,0.209887121,0.01
