Month,DE,Cash
1983 Jul,0.504717589,0.01
1983 Aug,0.364360733,0.01
1983 Sep,0.363728233,0.01
1983 Oct,0.212042513,0.01
1983 Nov,0.186077765,0.01
1983 Dec,0.151644715,0.01
1984 Jan,0.100100842,0.01
1984 Feb,0.034952013,0.01
1984 Mar,0.013845581,0.01
1984 Apr,-0.047314062,0.01
1984 May,-0.08970218,0.01
1984 Jun,-0.102419889,0.01
1984 Jul,-0.089760932,0.01
1984 Aug,-0.006164884,0.01
1984 Sep,-0.019171037,0.01
1984 Oct,-0.004292941,0.01
1984 Nov,-0.034431743,0.01
1984 Dec,-0.003675465,0.01
1985 Jan,0.083545687,0.01
1985 Feb,0.135144793,0.01
1985 Mar,0.115222539,0.01
1985 Apr,0.106458851,0.01
1985 May,0.237319586,0.01
1985 Jun,0.229900975,0.01
1985 Jul,0.246591203,0.01
1985 Aug,0.116705812,0.01
1985 Sep,0.083454264,0.01
1985 Oct,0.12878623,0.01
1985 Nov,0.215681619,0.01
1985 Dec,0.238910397,0.01
1986 Jan,0.155647948,0.01
1986 Feb,0.235363432,0.01
1986 Mar,0.31622126,0.01
1986 Apr,0.310924227,0.01
1986 May,0.305108846,0.01
1986 Jun,0.306497659,0.01
1986 Jul,0.238143725,0.01
1986 Aug,0.341806123,0.01
1986 Sep,0.270212238,0.01
1986 Oct,0.287220366,0.01
1986 Nov,0.238818012,0.01
1986 Dec,0.154481305,0.01
1987 Jan,0.298472627,0.01
1987 Feb,0.250624266,0.01
1987 Mar,0.209002782,0.01
1987 Apr,0.202624724,0.01
1987 May,0.153041301,0.01
1987 Jun,0.189874487,0.01
1987 Jul,0.320299253,0.01
1987 Aug,0.27202661,0.01
1987 Sep,0.355992041,0.01
1987 Oct,0.010661045,0.01
1987 Nov,-0.094229666,0.01
1987 Dec,-0.000363888,0.01
1988 Jan,-0.077530799,0.01
1988 Feb,-0.071593348,0.01
1988 Mar,-0.123511417,0.01
1988 Apr,-0.106808324,0.01
1988 May,-0.1091955,0.01
1988 Jun,-0.112912978,0.01
1988 Jul,-0.158494772,0.01
1988 Aug,-0.21662791,0.01
1988 Sep,-0.167324375,0.01
1988 Oct,0.084393652,0.01
1988 Nov,0.161767956,0.01
1988 Dec,0.098240564,0.01
1989 Jan,0.129234156,0.01
1989 Feb,0.052389097,0.01
1989 Mar,0.107575954,0.01
1989 Apr,0.149798834,0.01
1989 May,0.183058742,0.01
1989 Jun,0.127210067,0.01
1989 Jul,0.232671146,0.01
1989 Aug,0.306231793,0.01
1989 Sep,0.25125845,0.01
1989 Oct,0.188273582,0.01
1989 Nov,0.229618965,0.01
1989 Dec,0.237808713,0.01
1990 Jan,0.073325877,0.01
1990 Feb,0.113242111,0.01
1990 Mar,0.117199063,0.01
1990 Apr,0.041991843,0.01
1990 May,0.101597096,0.01
1990 Jun,0.097373309,0.01
1990 Jul,0.003507958,0.01
1990 Aug,-0.109993287,0.01
1990 Sep,-0.152656747,0.01
1990 Oct,-0.13866614,0.01
1990 Nov,-0.101307505,0.01
1990 Dec,-0.098872109,0.01
1991 Jan,0.010987079,0.01
1991 Feb,0.071932201,0.01
1991 Mar,0.074741011,0.01
1991 Apr,0.104297775,0.01
1991 May,0.049169078,0.01
1991 Jun,0.011928192,0.01
1991 Jul,0.065050086,0.01
1991 Aug,0.202764609,0.01
1991 Sep,0.247407775,0.01
1991 Oct,0.276924122,0.01
1991 Nov,0.151562153,0.01
1991 Dec,0.248234848,0.01
1992 Jan,0.179342724,0.01
1992 Feb,0.115208971,0.01
1992 Mar,0.064342393,0.01
1992 Apr,0.093154699,0.01
1992 May,0.055919998,0.01
1992 Jun,0.089178471,0.01
1992 Jul,0.082108276,0.01
1992 Aug,0.037530211,0.01
1992 Sep,0.067617832,0.01
1992 Oct,0.054682221,0.01
1992 Nov,0.1365306,0.01
1992 Dec,0.036269473,0.01
1993 Jan,0.061289281,0.01
1993 Feb,0.062280905,0.01
1993 Mar,0.107786397,0.01
1993 Apr,0.050092836,0.01
1993 May,0.071782218,0.01
1993 Jun,0.093457856,0.01
1993 Jul,0.048870074,0.01
1993 Aug,0.110425493,0.01
1993 Sep,0.090625328,0.01
1993 Oct,0.109188054,0.01
1993 Nov,0.063697207,0.01
1993 Dec,0.063006938,0.01
1994 Jan,0.093078368,0.01
1994 Feb,0.049458874,0.01
1994 Mar,-0.016832498,0.01
1994 Apr,0.022418249,0.01
1994 May,0.013055297,0.01
1994 Jun,-0.016171849,0.01
1994 Jul,0.017456115,0.01
1994 Aug,0.018547717,0.01
1994 Sep,0.000923716,0.01
1994 Oct,0.00570627,0.01
1994 Nov,-0.020737187,0.01
1994 Dec,-0.018594165,0.01
